frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
35,1,1,149.3,721,104,-188.36167907714844,-5301.373046875,
36,1,1,195.2,723,108,-178.4427947998047,-5193.39453125,
75,1,2,40.6,762,528,125.5113296508789,-212.1399688720703,
77,1,2,229.5,762,568,134.5320281982422,-12.602031707763672,
79,1,2,109.2,793,508,149.0866241455078,-320.94390869140625,
80,1,2,74.8,808,501,161.5027618408203,-360.5964660644531,
100,1,2,17.1,931,353,268.6267395019531,-1420.7952880859375,
135,1,2,113.4,1148,613,455.6536560058594,183.14199829101562,
136,1,2,62.2,1147,605,456.30169677734375,148.6024169921875,
137,1,2,11.5,1153,606,461.0426330566406,152.86114501953125,
139,1,2,306.4,991,582,329.1566162109375,48.32069396972656,
140,1,2,105.7,941,573,286.9729309082031,7.444488048553467,
1185,3,2,252.2,899,12,124.85762023925781,-8919.056640625,
1188,3,2,295.1,884,46,110.0456771850586,-7309.64404296875,
1189,3,2,295.1,889,53,127.1579818725586,-7031.3857421875,
1191,3,2,295.1,913,28,173.89761352539062,-8118.4296875,
1199,3,2,398.0,890,79,144.64547729492188,-6103.5615234375,
1200,3,2,398.0,876,103,127.51748657226562,-5374.10498046875,
1205,3,2,473.6,897,52,146.09181213378906,-7074.1162109375,
1206,3,2,434.8,897,46,142.5592041015625,-7315.66943359375,
1218,3,2,78.4,801,46,-96.44180297851562,-7271.37646484375,
1223,3,2,99.1,751,18,-280.36285400390625,-8515.7275390625,
1224,3,2,99.1,735,6,-356.8463134765625,-9142.4130859375,
1226,3,2,99.1,735,13,-337.4080505371094,-8763.5830078125,
1227,3,2,293.0,725,16,-357.00677490234375,-8601.998046875,
1229,3,2,183.9,702,18,-414.3707580566406,-8487.0615234375,
1231,3,2,40.1,693,31,-401.26165771484375,-7862.77392578125,
1234,3,2,162.7,698,15,-434.3702392578125,-8637.1640625,
1235,3,2,162.7,698,9,-453.2589416503906,-8953.728515625,
1237,3,2,101.9,697,7,-462.62353515625,-9062.2314453125,
1238,3,2,393.0,694,11,-458.0718078613281,-8843.931640625,
1246,3,2,82.6,662,28,-490.6158447265625,-7983.55615234375,
1248,3,2,175.8,648,30,-520.6195678710938,-7884.7353515625,
1273,4,2,360.3,509,60,-754.1056518554688,-6611.33935546875,
1274,4,2,360.3,507,39,-842.1292724609375,-7423.35498046875,
1278,4,2,360.3,527,2,-969.2559814453125,-9229.12109375,
1280,4,2,205.0,528,-16,-1074.2117919921875,-10330.330078125,
1283,4,2,205.0,492,25,-944.282470703125,-8032.0419921875,
1284,4,2,181.1,480,27,-965.2994995117188,-7933.66748046875,
